Fund Holdings as of,"06/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"1519","J&T GLOBAL EXPRESS LTD","Industrials","Equity","3,150,699.75","0.12","3,150,699.75","2,539,600.00","1.24","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"902","HUANENG POWER INTERNATIONAL INC H","Utilities","Equity","3,138,695.36","0.12","3,138,695.36","4,492,000.00","0.70","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"322","TINGYI (CAYMAN ISLANDS) HOLDINGS C","Consumer Staples","Equity","3,075,294.54","0.11","3,075,294.54","2,142,000.00","1.44","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"603993","CHINA MOLYBDENUM LTD A","Materials","Equity","3,065,447.10","0.11","3,065,447.10","1,138,200.00","2.69","China","Shanghai Stock Exchange","CNY"
"6886","HUATAI SECURITIES LTD H","Financials","Equity","3,042,858.16","0.11","3,042,858.16","1,409,600.00","2.16","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3998","BOSIDENG INTERNATIONAL LTD","Consumer Discretionary","Equity","3,014,739.63","0.11","3,014,739.63","5,140,000.00","0.59","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"270","GUANGDONG INVESTMENT LTD","Utilities","Equity","2,976,727.70","0.11","2,976,727.70","3,084,000.00","0.97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1988","CHINA MINSHENG BANKING CORP LTD H","Financials","Equity","2,969,903.61","0.11","2,969,903.61","7,189,000.00","0.41","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"603259","WUXI APPTEC LTD A","Health Care","Equity","2,955,584.91","0.11","2,955,584.91","163,402.00","18.09","China","Shanghai Stock Exchange","CNY"
"688008","MONTAGE TECHNOLOGY LTD A","Information Technology","Equity","2,939,849.66","0.11","2,939,849.66","74,388.00","39.52","China","Shanghai Stock Exchange","CNY"
"002916","SHENNAN CIRCUITS LTD A","Information Technology","Equity","2,911,659.00","0.11","2,911,659.00","44,968.00","64.75","China","Shenzhen Stock Exchange","CNY"
"9880","UBTECH ROBOTICS CORP LTD H","Industrials","Equity","2,911,460.19","0.11","2,911,460.19","233,000.00","12.50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"914","ANHUI CONCH CEMENT LTD H","Materials","Equity","2,868,322.54","0.11","2,868,322.54","1,314,000.00","2.18","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2333","GREAT WALL MOTOR COMPANY LTD H","Consumer Discretionary","Equity","2,854,011.96","0.11","2,854,011.96","2,523,500.00","1.13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2618","JD LOGISTICS INC","Industrials","Equity","2,845,523.03","0.11","2,845,523.03","1,801,200.00","1.58","China","Hong Kong Exchanges And Clearing Ltd","HKD"
